Publication Year,Author,Title,image,URL,LM,EM,DOI,analysis,proofreading,segmentation,acquisition,alignment,Executable,Dataset,Github,Publication Title
2019,"Hörl, David; Rojas Rusak, Fabio; Preusser, Friedrich; Tillberg, Paul; Randel, Nadine; Chhetri, Raghav K.; Cardona, Albert; Keller, Philipp J.; Harz, Hartmann; Leonhardt, Heinrich; Treier, Mathias; Preibisch, Stephan",BigStitcher: reconstructing high-resolution image datasets of cleared and expanded samples,bigstitcher.png,https://www.nature.com/articles/s41592-019-0501-0,no,no,10.1038/s41592-019-0501-0,,,,,2D-Alignment,no,no,yes,Nature Methods
2019,"Bria, Alessandro; Bernaschi, Massimo; Guarrasi, Massimiliano; Iannello, Giulio",Exploiting Multi-Level Parallelism for Stitching Very Large Microscopy Images,parallel.png,https://www.frontiersin.org/article/10.3389/fninf.2019.00041,no,no,,,,,,2D-Alignment,no,no,no,Frontiers in Neuroinformatics
2011,"Yu, Yang; Peng, Hanchuan",Automated high speed stitching of large 3D microscopic images,high-speed-stitching.png,https://ieeexplore.ieee.org/abstract/document/5872396?casa_token=p4qDdh7eb-kAAAAA:I-nr0ScQPDeMo5FgIyhJnYJbYAwsworbRhvqjOwCnPpQpbfRMzefmO0Ydl7dQprd1hWoEtY,no,no,10.1109/ISBI.2011.5872396,,,,,2D-Alignment,no,no,no,2011 IEEE International Symposium on Biomedical Imaging: From Nano to Macro
2017,"Chalfoun, Joe; Majurski, Michael; Blattner, Tim; Bhadriraju, Kiran; Keyrouz, Walid; Bajcsy, Peter; Brady, Mary",MIST: Accurate and Scalable Microscopy Image Stitching Tool with Stage Modeling and Error Minimization,mist.png,https://www.nature.com/articles/s41598-017-04567-y,no,no,10.1038/s41598-017-04567-y,,,,,2D-Alignment,no,no,yes,Scientific Reports
2012,"Bria, Alessandro; Iannello, Giulio",TeraStitcher - A tool for fast automatic 3D-stitching of teravoxel-sized microscopy images,terastitcher.png,https://doi.org/10.1186/1471-2105-13-316,no,no,10.1186/1471-2105-13-316,,,, ,2D-Alignment,no,no,yes,BMC Bioinformatics
2010,"Saalfeld, Stephan; Cardona, Albert; Hartenstein, Volker; Tomančák, Pavel",As-rigid-as-possible mosaicking and serial section registration of large ssTEM datasets,rigid.png,https://academic.oup.com/bioinformatics/article/26/12/i57/286450,no,yes,10.1093/bioinformatics/btq219,,,, ,2D-Alignment,no,no,no,Bioinformatics
2010,"Tasdizen, Tolga; Koshevoy, Pavel; Grimm, Bradley C.; Anderson, James R.; Jones, Bryan W.; Watt, Carl B.; Whitaker, Ross T.; Marc, Robert E.",Automatic mosaicking and volume assembly for high-throughput serial-section transmission electron microscopy,mosaicing.png,https://www.sciencedirect.com/science/article/pii/S0165027010004413,no,no,10.1016/j.jneumeth.2010.08.001,,,, ,2D-Alignment,no,no,no,Journal of Neuroscience Methods
2006,"Chow, S. K.; Hakozaki, H.; Price, D. L.; Maclean, N. a. B.; Deerinck, T. J.; Bouwer, J. C.; Martone, M. E.; Peltier, S. T.; Ellisman, M. H.",Automated microscopy system for mosaic acquisition and processing,automated_mosaicing.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2818.2006.01577.x,no,no,10.1111/j.1365-2818.2006.01577.x,,,, ,2D-Alignment,no,no,no,Journal of Microscopy
2009,"Emmenlauer, M.; Ronneberger, O.; Ponti, A.; Schwarb, P.; Griffa, A.; Filippi, A.; Nitschke, R.; Driever, W.; Burkhardt, H.","XuvTools: free, fast and reliable stitching of large 3D datasets",xuv-tools.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2818.2008.03094.x,no,no,10.1111/j.1365-2818.2008.03094.x,,,, ,2D-Alignment,no,no,no,Journal of Microscopy
2006,"Bajcsy, P.; Lee, S-C.; Lin, A.; Folberg, R.",Three-dimensional volume reconstruction of extracellular matrix proteins in uveal melanoma from fluorescent confocal laser scanning microscope images,extracellular-matrix.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2818.2006.01539.x,yes,no,10.1111/j.1365-2818.2006.01539.x,,,, ,2D-Alignment,no,no,no,Journal of Microscopy
2003,"Al-Kofahi, O.; Can, A.; Lasek, S.; Szarowski, D. H.; Turner, J. N.; Roysam, B.",Algorithms for accurate 3D registration of neuronal images acquired by confocal scanning laser microscopy,,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2818.2003.01196.x,yes,no,10.1046/j.1365-2818.2003.01196.x,,,, ,2D-Alignment,no,no,no,Journal of Microscopy
1996,"Becker, Douglas E.; Ancin, Hakan; Szarowski, Donald H.; Turner, James N.; Roysam, Badrinath",Automated 3-D montage synthesis from laser-scanning confocal images: Application to quantitative tissue-level cytological analysis,,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-0320%2819961101%2925%3A3%3C235%3A%3AAID-CYTO4%3E3.0.CO%3B2-E,yes,no,10.1002/(SICI)1097-0320(19961101)25:3<235::AID-CYTO4>3.0.CO;2-E,,,, ,2D-Alignment,no,no,no,Cytometry
2012,"Briggman, Kevin L; Bock, Davi D",Volume electron microscopy for neuronal circuit reconstruction,,https://www.sciencedirect.com/science/article/pii/S0959438811001887,no,yes,10.1016/j.conb.2011.10.022,,,,Nanoscale,,no,no,no,Current Opinion in Neurobiology
2008,"Knott, Graham; Marchman, Herschel; Wall, David; Lich, Ben",Serial Section Scanning Electron Microscopy of Adult Brain Tissue Using Focused Ion Beam Milling,,https://www.jneurosci.org/content/28/12/2959,no,yes,10.1523/JNEUROSCI.3189-07.2008,,,,Nanoscale,,no,no,no,Journal of Neuroscience
2004,"Denk, Winfried; Horstmann, Heinz",Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.0020329,no,yes,10.1371/journal.pbio.0020329,,,,Nanoscale,,no,no,no,PLOS Biology
2015,"Saxena, Manish; Eluru, Gangadhar; Gorthi, Sai Siva",Structured illumination microscopy,,https://www.osapublishing.org/aop/abstract.cfm?uri=aop-7-2-241,yes,no,10.1364/AOP.7.000241,,,,Microscale,,no,no,no,Advances in Optics and Photonics
1994,"Hell, Stefan W.; Wichmann, Jan",Breaking the diffraction resolution limit by stimulated emission: stimulated-emission-depletion fluorescence microscopy,,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-19-11-780,yes,no,10.1364/OL.19.000780,,,,Microscale,,no,no,no,Optics Letters
2012,"Ragan, Timothy; Kadiri, Lolahon R.; Venkataraju, Kannan Umadevi; Bahlmann, Karsten; Sutin, Jason; Taranda, Julian; Arganda-Carreras, Ignacio; Kim, Yongsoo; Seung, H. Sebastian; Osten, Pavel",Serial two-photon tomography for automated ex vivo mouse brain imaging,,https://www.nature.com/articles/nmeth.1854,yes,no,10.1038/nmeth.1854,,,,Microscale,,no,no,no,Nature Methods
2021,"Fiolka, Reto",Light-sheet microscopy at high resolution,,https://www.nature.com/articles/s41587-021-01101-4,yes,no,10.1038/s41587-021-01101-4,,,,Microscale,,no,no,no,Nature Biotechnology
2007,"Dodt, Hans-Ulrich; Leischner, Ulrich; Schierloh, Anja; Jährling, Nina; Mauch, Christoph Peter; Deininger, Katrin; Deussing, Jan Michael; Eder, Matthias; Zieglgänsberger, Walter; Becker, Klaus",Ultramicroscopy: three-dimensional visualization of neuronal networks in the whole mouse brain,,https://www.nature.com/articles/nmeth1036,yes,no,10.1038/nmeth1036,,,,Microscale,,no,no,no,Nature Methods
2000,"Paddock, Stephen W.",Principles and practices of laser scanning confocal microscopy,,https://doi.org/10.1385/MB:16:2:127,yes,no,10.1385/MB:16:2:127,,,,Microscale,,no,no,no,Molecular Biotechnology
2020,"Shen, Fred Y.; Harrington, Margaret M.; Walker, Logan A.; Cheng, Hon Pong Jimmy; Boyden, Edward S.; Cai, Dawen",Light microscopy based approach for mapping connectivity with molecular specificity,,https://www.nature.com/articles/s41467-020-18422-8,yes,no,10.1038/s41467-020-18422-8,,,,Microscale,,no,no,no,Nature Communications
2021,"Silversmith, William; Collman, Forrest; Kemnitz, Nico; Jingpeng Wu; Castro, Manuel; Falk, Ben; Roat, Chris; Macrina, Thomas; Perlman, Eric; Shangmu; Akhilesh Halageri; Gunn, Pat; Sridhar Jagannathan;, et al.",seung-lab/cloud-volume: Zenodo Release v1,,https://zenodo.org/record/5671443,yes,yes,,Data-Structures,,, ,,no,no,no,
2021,"Maitin-Shepard, Jeremy; Baden, Alex; Silversmith, William; Perlman, Eric; Collman, Forrest; Blakely, Tim; Funke, Jan; Jordan, Chris; Falk, Ben; Kemnitz, Nico; Tingzhao; Roat, Chris; Castro, Manuel; et al.",google/neuroglancer:,,https://zenodo.org/record/5573294,yes,yes,,Spatial-Exploration,,,,,no,no,yes,
2021,"Minnen, David; Januszewski, Michał; Blakely, Tim; Shapson-Coe, Alexander; Schalek, Richard L.; Ballé, Johannes; Lichtman, Jeff W.; Jain, Viren",Denoising-based Image Compression for Connectomics,,https://www.biorxiv.org/content/10.1101/2021.05.29.445828v2,no,yes,,,,,Vis-for-Acquisition,,no,no,no,
2016,"Vogelstein, Joshua T; Mensh, Brett; Häusser, Michael; Spruston, Nelson; Evans, Alan C; Kording, Konrad; Amunts, Katrin; Ebell, Christoph; Muller, Jeff; Telefont, Martin; others",To the cloud! A grassroots proposal to accelerate brain science discovery,,,no,yes,,Data-Structures,,,,,no,no,no,Neuron
2018,"Vogelstein, Joshua T; Perlman, Eric; Falk, Benjamin; Baden, Alex; Roncal, William Gray; Chandrashekhar, Vikram; Collman, Forrest; Seshamani, Sharmishtaa; Patsolic, Jesse L; Lillaney, Kunal; others",A community-developed open-source computational ecosystem for big neuro data,,,no,yes,,Data-Structures,,,,,no,no,no,Nature methods
2012,"Saalfeld, Stephan; Fetter, Richard; Cardona, Albert; Tomancak, Pavel",Elastic volume reconstruction from series of ultra-thin microscopy sections,,https://www.nature.com/articles/nmeth.2072,no,yes,10.1038/nmeth.2072,,,,,2D-Alignment,no,no,no,Nature Methods
2013,"Yigitsoy, Mehmet; Navab, Nassir",Structure Propagation for Image Registration,,,yes,no,10.1109/TMI.2013.2263151,,,,,2D-Alignment,no,no,no,IEEE Transactions on Medical Imaging
2011,"Tsai, C.-L.; Lister, J.P.; Bjornsson, C.S.; Smith, K.; Shain, W.; Barnes, C.A.; Roysam, B.","Robust, globally consistent and fully automatic multi-image registration and montage synthesis for 3-D multi-channel images",,https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2818.2011.03489.x,yes,no,10.1111/j.1365-2818.2011.03489.x,,,,,2D-Alignment,no,no,no,Journal of Microscopy
2021,"Schlegel, Philipp; Barnes, Chris; Sridhar Jagannathan; Pedigo, Benjamin; Court, Rob",navis-org/navis: Version 1.1.0,,https://zenodo.org/record/5710143,no,yes,,Vis-focused-Analysis,,,,,no,no,yes,
2011,"Brown, Kerry M; Barrionuevo, Germán; Canty, Alison J; De Paola, Vincenzo; Hirsch, Judith A; Jefferis, Gregory SXE; Lu, Ju; Snippe, Marjolein; Sugihara, Izumi; Ascoli, Giorgio A",The DIADEM data sets: representative light microscopy images of neuronal morphology to advance automation of digital reconstructions,,,yes,no,,,,,,,no,yes,no,Neuroinformatics
2021,"Nguyen, Khoa Tuan; Jang, Ganghee; Jeong, Won-ki",RLCorrector: Reinforced Proofreading for Connectomics Image Segmentation,,http://arxiv.org/abs/2106.05487,no,yes,,,Guided-Automatic,,,,no,no,no,arXiv:2106.05487 [cs]
2011,"ANDERSON, JR; MOHAMMED, S; GRIMM, B; JONES, BW; KOSHEVOY, P; TASDIZEN, T; WHITAKER, R; MARC, RE",The Viking viewer for connectomics: scalable multi-user annotation and summarization of large volume data sets,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3017751/,no,yes,10.1111/j.1365-2818.2010.03402.x,Connectivity-Exploration,Manual,Interactive,,,no,no,yes,Journal of Microscopy
2019,"Matejek, Brian; Haehn, Daniel; Zhu, Haidong; Wei, Donglai; Parag, Toufiq; Pfister, Hanspeter",Biologically-Constrained Graphs for Global Connectomics Reconstruction,,,no,yes,10.1109/CVPR.2019.00219,,Guided-Automatic,,,,no,no,no,
2017,"Rolnick, David; Meirovitch, Yaron; Parag, Toufiq; Pfister, Hanspeter; Jain, Viren; Lichtman, Jeff W.; Boyden, Edward S.; Shavit, Nir",Morphological Error Detection in 3D Segmentations,,https://arxiv.org/abs/1705.10882v1,no,yes,,,Guided-Automatic,,,,no,no,no,
2017,"Zung, Jonathan; Tartavull, Ignacio; Lee, Kisuk; Seung, H. Sebastian",An Error Detection and Correction Framework for Connectomics,,https://proceedings.neurips.cc/paper/2017/hash/4500e4037738e13c0c18db508e18d483-Abstract.html,no,yes,,,Guided-Automatic,,,,no,no,no,Advances in Neural Information Processing Systems
2011,"Roberts, Mike; Jeong, Won-Ki; Vázquez-Reina, Amelio; Unger, Markus; Bischof, Horst; Lichtman, Jeff; Pfister, Hanspeter",Neural process reconstruction from sparse user scribbles,,,no,yes,10.1007/978-3-642-23623-5_78,,,Interactive,,,no,no,no,Medical image computing and computer-assisted intervention: MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention
2013,"Sicat, Ronell; Hadwiger, M.; Mitra, N.",Graph Abstraction for Simplified Proofreading of Slice-based Volume Segmentation,,,no,yes,10.2312/conf/EG2013/short/077-080,,Guided-Automatic,,,,no,no,no,Eurographics
2013,"Seymour, Knowles-Barley; Mike, R.; Narayanan, Kasthuri; Dongil, Lee; Hanspeter, Pfister; Jeff, Lichtman",Mojo 2.0: Connectome Annotation Tool,,,no,yes,10.3389/CONF.FNINF.2013.09.00060,,Semi-Automatic,,,,no,no,no,
2018,"Zheng, Zhihao; Lauritzen, J. Scott; Perlman, Eric; Robinson, Camenzind G.; Nichols, Matthew; Milkie, Daniel; Torrens, Omar; Price, John; Fisher, Corey B.; Sharifi, Nadiya; Calle-Schuler, Steven A.; Kmecova, Lucia; et al.",A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,,https://www.sciencedirect.com/science/article/pii/S0092867418307876,no,yes,https://doi.org/10.1016/j.cell.2018.06.019,,,,,,no,yes,no,Cell
2009,"Čapek, Martin; Brůža, Petr; Janáček, Jiří; Karen, Petr; Kubínová, Lucie; Vagnerová, Radomíra",Volume reconstruction of large tissue specimens from serial physical sections using confocal microscopy and correction of cutting deformations by elastic registration,,https://onlinelibrary.wiley.com/doi/abs/10.1002/jemt.20652,yes,no,10.1002/jemt.20652,,,,,3D-Registration,no,no,no,Microscopy Research and Technique
2006,"Ju, Tao; Warren, Joe; Carson, James; Bello, Musodiq; Kakadiaris, Ioannis; Chiu, Wah; Thaller, Christina; Eichele, Gregor",3D volume reconstruction of a mouse brain from histological sections using warp filtering,,https://www.sciencedirect.com/science/article/pii/S0165027006001282,yes,no,10.1016/j.jneumeth.2006.02.020,,,,,3D-Registration,no,no,no,Journal of Neuroscience Methods
2015,"Sergejeva, Marina; Papp, Eszter A.; Bakker, Rembrandt; Gaudnek, Manuel A.; Okamura-Oho, Yuko; Boline, Jyl; Bjaalie, Jan G.; Hess, Andreas",Anatomical landmarks for registration of experimental image data to volumetric rodent brain atlasing templates,,https://www.sciencedirect.com/science/article/pii/S0165027014003975,no,no,10.1016/j.jneumeth.2014.11.005,,,,,3D-Registration,no,no,no,Journal of Neuroscience Methods
2004,"Papadimitriou, C.; Yapijakis, C.; Davaki, P.",Use of truncated pyramid representation methodology in three-dimensional reconstruction: an example,,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-2720.2004.01298.x,yes,no,10.1111/j.0022-2720.2004.01298.x,,,,,3D-Registration,no,no,no,Journal of Microscopy
1995,"Humm, J. L.; Macklis, R. M.; Lu, X. Q.; Yang, Y.; Bump, K.; Beresford, B.; Chin, L. M.",The spatial accuracy of cellular dose estimates obtained from 3D reconstructed serial tissue autoradiographs,,https://doi.org/10.1088/0031-9155/40/1/014,yes,no,10.1088/0031-9155/40/1/014,,,,,3D-Registration,no,no,no,Physics in Medicine and Biology
2021,"Udvary, Daniel; Harth, Philipp; Macke, Jakob H.; Hege, Hans-Christian; Kock, Christiaan P. J. de; Sakmann, Bert; Oberlaender, Marcel",The Impact of Neuron Morphology on Cortical Network Architecture,,https://www.biorxiv.org/content/10.1101/2020.11.13.381087v4,no,yes,,,,Connectivity-Extraction,,,no,no,no,
2016,"Plaza, Stephen",Focused Proofreading to Reconstruct Neural Connectomes from EM Images at Scale,,,no,yes,10.1007/978-3-319-46976-8_26,,Guided-Automatic,,,,no,no,no,
2018,"Dimitriev, K.; Parag, T.; Matejek, Brian; Kaufman, A.; Pfister, H.",Efficient Correction for EM Connectomics with Skeletal Representation,,,no,yes,,,Guided-Automatic,,,,no,no,no,BMVC
2011,"Peng, Hanchuan; Chung, Phuong; Long, Fuhui; Qu, Lei; Jenett, Arnim; Seeds, Andrew M.; Myers, Eugene W.; Simpson, Julie H.",BrainAligner: 3D registration atlases of Drosophila brains,,https://www.nature.com/articles/nmeth.1602,no,no,10.1038/nmeth.1602,,,,,3D-Registration,no,no,no,Nature Methods
2008,"Lee, Sang-Chul; Bajcsy, Peter",Trajectory fusion for three-dimensional volume reconstruction,,https://www.sciencedirect.com/science/article/pii/S107731420700032X,yes,no,10.1016/j.cviu.2007.02.005,,,,,3D-Registration,no,no,no,Computer Vision and Image Understanding
1989,"Bookstein, F.L.",Principal warps: thin-plate splines and the decomposition of deformations,,,no,no,10.1109/34.24792,,,,,3D-Registration,no,no,no,IEEE Transactions on Pattern Analysis and Machine Intelligence
2015,"Bria, Alessandro; Iannello, Giulio; Peng, Hanchuan",An open-source VAA3D plugin for real-time 3D visualization of terabyte-sized volumetric images,,,no,yes,10.1109/ISBI.2015.7163925,,,,,3D-Registration,no,no,yes,2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI)
2021,"Ghahremani, Parmida; Boorboor, Saeed; Mirhosseini, Pooya; Gudisagar, Chetan; Ananth, Mala; Talmage, David; Role, Lorna W; Kaufman, Arie E.",NeuroConstruct: 3D Reconstruction and Visualization of Neurites in Optical Microscopy Brain Images,,,yes,no,10.1109/TVCG.2021.3109460,Spatial-Exploration,,,,3D-Registration,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2014,"Dercksen, Vincent J.; Hege, Hans-Christian; Oberlaender, Marcel","The Filament Editor: an interactive software environment for visualization, proof-editing and analysis of 3D neuron morphology",,,no,no,10.1007/s12021-013-9213-2,,,,,3D-Registration,no,no,no,Neuroinformatics
2011,"Luzzati, Federico; Fasolo, Aldo; Peretto, Paolo",Combining Confocal Laser Scanning Microscopy with Serial Section Reconstruction in the Study of Adult Neurogenesis,,https://www.frontiersin.org/article/10.3389/fnins.2011.00070,yes,no,,,,,,3D-Registration,no,no,no,Frontiers in Neuroscience
2011,"Hogrebe, Luke; Paiva, Antonio R. C.; Jurrus, Elizabeth; Christensen, Cameron; Bridge, Michael; Korenberg, J.R.; Tasdizen, Tolga",Trace driven registration of neuron confocal microscopy stacks,,,yes,no,10.1109/ISBI.2011.5872649,,,,,3D-Registration,no,no,no,2011 IEEE International Symposium on Biomedical Imaging: From Nano to Macro
2009,"Dercksen, V.J.; Weber, B.; Gunther, D.; Oberlaender, M.; Prohaska, S.; Hege, H.-C.",Automatic alignment of stacks of filament data,,,yes,no,10.1109/ISBI.2009.5193216,,,,,3D-Registration,no,no,no,2009 IEEE International Symposium on Biomedical Imaging: From Nano to Macro
2017,"Chen, Hanbo; Iascone, Daniel Maxim; da Costa, Nuno Maçarico; Lein, Ed S.; Liu, Tianming; Peng, Hanchuan",Fast assembling of neuron fragments in serial 3D sections,,http://link.springer.com/10.1007/s40708-017-0063-9,no,yes,10.1007/s40708-017-0063-9,,,Automatic,,3D-Registration,no,no,no,Brain Informatics
2021,"Lin, Zudi; Wei, Donglai; Lichtman, Jeff; Pfister, Hanspeter",PyTorch Connectomics: A Scalable and Flexible Segmentation Framework for EM Connectomics,,http://arxiv.org/abs/2112.05754,yes,yes,,,,Automatic,,,no,no,no,"arXiv:2112.05754 [cs, eess, q-bio]"
2021,"Liu, Yi; Ji, Shuiwang",CleftNet: Augmented Deep Learning for Synaptic Cleft Detection from Brain Electron Microscopy,,,no,yes,,,,Connectivity-Extraction,,,no,no,no,IEEE Transactions on Medical Imaging
2021,"Isensee, Fabian; Jaeger, Paul F; Kohl, Simon AA; Petersen, Jens; Maier-Hein, Klaus H",nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,,,yes,yes,,,,Automatic,,,no,no,no,Nature methods
2018,"Januszewski, Michal; Kornfeld, Joergen; Li, Peter H; Pope, Art; Blakely, Tim; Lindsey, Larry; Maitin-Shepard, Jeremy; Tyka, Mike; Denk, Winfried; Jain, Viren",High-precision automated reconstruction of neurons with flood-filling networks,,,no,yes,,,,Automatic,,,no,no,no,Nature methods
2018,"Haberl, Matthias G; Churas, Christopher; Tindall, Lucas; Boassa, Daniela; Phan, Sébastien; Bushong, Eric A; Madany, Matthew; Akay, Raffi; Deerinck, Thomas J; Peltier, Steven T; others",CDeep3M—Plug-and-Play cloud-based deep learning for image segmentation,,,yes,yes,,,,Interactive,,,no,no,no,Nature methods
2019,"Urakubo, Hidetoshi; Bullmann, Torsten; Kubota, Yoshiyuki; Oba, Shigeyuki; Ishii, Shin",UNI-EM: An environment for deep neural network-based automated segmentation of neuronal electron microscopic images,,,no,yes,,,,Interactive,,,no,no,no,Scientific reports
2017,"Zeng, Tao; Wu, Bian; Ji, Shuiwang",DeepEM3D: approaching human-level performance on 3D anisotropic EM image segmentation,,,no,yes,,,,Automatic,,,no,no,no,Bioinformatics
2017,"Lee, Kisuk; Zung, Jonathan; Li, Peter; Jain, Viren; Seung, H Sebastian",Superhuman accuracy on the SNEMI3D connectomics challenge,,,no,yes,,,,Automatic,,,no,no,no,arXiv preprint arXiv:1706.00120
2017,"Net, Deep Affinity; via Affinity, Instance Segmentation",A deep structured learning approach towards automating connectome reconstruction from 3d electron micrographs,,,no,yes,,,,Automatic,,,no,no,no,
2018,"Huang, Gary B.; Scheffer, Louis K.; Plaza, Stephen M.",Fully-Automatic Synapse Prediction and Validation on a Large Data Set,,https://www.frontiersin.org/article/10.3389/fncir.2018.00087/full,no,yes,10.3389/fncir.2018.00087,,,Automatic,,,no,no,no,Frontiers in Neural Circuits
2017,"Tinati, Ramine; Luczak-Roesch, Markus; Simperl, Elena; Hall, Wendy","An investigation of player motivations in Eyewire, a gamified citizen science project",,,no,no,,,Crowedsourced,,,,no,no,no,Computers in Human Behavior
2005,"Fiala, J. C.",Reconstruct: a free editor for serial section microscopy,reconstruct.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2818.2005.01466.x,yes,yes,10.1111/j.1365-2818.2005.01466.x,,,,,3D-Registration,no,no,no,Journal of Microscopy
2017,"Rolnick, D.; Meirovitch, Yaron; Parag, T.; Pfister, H.; Jain, Viren; Lichtman, J.; Boyden, E.; Shavit, N.",Morphological Error Detection in 3D Segmentations,rolnick.png,,no,yes,,,Guided-Automatic,,,,no,no,no,ArXiv
2020,Janelia Farm,NeuroProof,neuroproof.png,https://github.com/janelia-flyem/NeuroProof,no,yes,,,Guided-Automatic,,,,no,no,no,
,,Raveler: An interface for proofreading and annotating electron microscopy stacks,raveler.png,,no,yes,,,Semi-Automatic,,,,no,no,no,
2021,"Boorboor, Saeed; Mathew, Shawn; Ananth, Mala; Talmage, David; Role, Lorna W; Kaufman, Arie E.",NeuRegenerate: A Framework for Visualizing Neurodegeneration,neuregenerate.png,,no,no,10.1109/TVCG.2021.3127132,,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2017,"Magliaro, Chiara; Callara, Alejandro L.; Vanello, Nicola; Ahluwalia, Arti",A Manual Segmentation Tool for Three-Dimensional Neuron Datasets,mansegtool.png,https://www.frontiersin.org/article/10.3389/fninf.2017.00036,yes,no,,,,Interactive,,,no,no,no,Frontiers in Neuroinformatics
2004,"Pieper, S.; Halle, M.; Kikinis, R.",3D Slicer,3D_slicer.png,,no,no,10.1109/ISBI.2004.1398617,,,Interactive,,,no,no,no,2004 2nd IEEE International Symposium on Biomedical Imaging: Nano to Macro (IEEE Cat No. 04EX821)
2013,"Xiao, Hang; Peng, Hanchuan",APP2: automatic tracing of 3D neuron morphology based on hierarchical pruning of a gray-weighted image distance-tree,app2.png,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btt170,no,no,10.1093/bioinformatics/btt170,,,Automatic,,,no,no,no,Bioinformatics
2019,"Yang, Jian; Hao, Ming; Liu, Xiaoyang; Wan, Zhijiang; Zhong, Ning; Peng, Hanchuan",FMST: an Automatic Neuron Tracing Method Based on Fast Marching and Minimum Spanning Tree,fmst.png,https://doi.org/10.1007/s12021-018-9392-y,no,no,10.1007/s12021-018-9392-y,,,Automatic,,,no,no,no,Neuroinformatics
2014,"Basu, Sreetama; Racoceanu, Daniel",Reconstructing neuronal morphology from microscopy stacks using fast marching,basu_fastmarching.png,,yes,no,10.1109/ICIP.2014.7025730,,,Automatic,,,no,no,no,2014 IEEE International Conference on Image Processing (ICIP)
2019,"Li, Shiwei; Quan, Tingwei; Xu, Cheng; Huang, Qing; Kang, Hongtao; Chen, Yijun; Li, Anan; Fu, Ling; Luo, Qingming; Gong, Hui; Zeng, Shaoqun",Optimization of Traced Neuron Skeleton Using Lasso-Based Model,optimization_lasso.png,https://www.frontiersin.org/article/10.3389/fnana.2019.00018,no,no,,,,Automatic,,,no,no,no,Frontiers in Neuroanatomy
2011,"Wang, Yu; Narayanaswamy, Arunachalam; Tsai, Chia-Ling; Roysam, Badrinath",A Broadly Applicable 3-D Neuron Tracing Method Based on Open-Curve Snake,wang_snake.png,https://doi.org/10.1007/s12021-011-9110-5,yes,no,10.1007/s12021-011-9110-5,,,Automatic,,,no,no,no,Neuroinformatics
2016,"Quan, Tingwei; Zhou, Hang; Li, Jing; Li, Shiwei; Li, Anan; Li, Yuxin; Lv, Xiaohua; Luo, Qingming; Gong, Hui; Zeng, Shaoqun",NeuroGPS-Tree: automatic reconstruction of large-scale neuronal populations with dense neurites,neurogps_tree.png,https://www.nature.com/articles/nmeth.3662,no,yes,10.1038/nmeth.3662,,,Automatic,,,no,no,no,Nature Methods
2011,"Longair, M. H.; Baker, D. A.; Armstrong, J. D.","Simple Neurite Tracer: open source software for reconstruction, visualization and analysis of neuronal processes",simple_tracer.png,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btr390,no,no,10.1093/bioinformatics/btr390,,,Automatic,,,no,no,no,Bioinformatics
2011,"Peng, H.; Long, F.; Myers, G.",Automatic 3D neuron tracing using all-path pruning,peng_tracing.png,https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btr237,no,no,10.1093/bioinformatics/btr237,,,Automatic,,,no,no,no,Bioinformatics
2010,"Peng, Hanchuan; Ruan, Zongcai; Long, Fuhui; Simpson, Julie H; Myers, Eugene W",V3D enables real-time 3D visualization and quantitative analysis of large-scale biological image data sets,V3D.png,,yes,yes,,Spatial-Exploration,,,,,no,no,no,Nature biotechnology
2015,"Eberle, A.L.; Mikula, S.; Schalek, R.; Lichtman, J.; Tate, M.L. Knothe; Zeidler, D.","High-resolution, high-throughput imaging with a multibeam scanning electron microscope.",multibeam15.png,https://onlinelibrary.wiley.com/doi/10.1111/jmi.12224,no,yes,10.1111/jmi.12224,,,,Nanoscale,,no,no,no,Journal of Microscopy
2018,"Eberle, Anna Lena; Zeidler, Dirk",Multi-Beam Scanning Electron Microscopy for High-Throughput Imaging in Connectomics Research,multibeam.png,https://www.frontiersin.org/article/10.3389/fnana.2018.00112/full,no,yes,10.3389/fnana.2018.00112,,,,Vis-for-Acquisition,,no,no,no,Frontiers in Neuroanatomy
